sub_basin_number,sub_basin_name,acres,sq_miles,priority,phase
1-001,Smith River Plain,40434.5,63.2,Very Low,1
1-002.01,Tulelake,110521.4,172.7,Medium,1
1-002.02,Lower Klamath,75330.3,117.7,Very Low,1
1-003,Butte Valley,79739,124.6,Medium,1
1-004,Shasta Valley,218215.03,340.96,Medium,2
1-005,Scott River Valley,63831.4,99.7,Medium,1
1-006,Hayfork Valley,3297.5,5.2,Very Low,1
1-007,Hoopa Valley,3897.2,6.1,Very Low,1
1-008.01,Mad River Lowland,24663.2,38.5,Very Low,1
1-008.02,Dows Prairie School Area,15416.1,24.1,Very Low,1
1-009,Eureka Plain,38795.4,60.6,Very Low,1
1-010,Eel River Valley,72956.7,114,Medium,1
1-011,Covelo Round Valley,16408.9,25.6,Very Low,1
1-012,Laytonville Valley,5023.7,7.8,Very Low,1
1-013,Little Lake Valley,10025.5,15.7,Very Low,1
1-014,Lower Klamath River Valley,7022.1,11,Very Low,1
1-015,Happy Camp Town Area,2773.3,4.3,Very Low,1
1-016,Seiad Valley,2245.1,3.5,Very Low,1
1-017,Bray Town Area,8032.4,12.6,Very Low,1
1-018,Red Rock Valley,9000.7,14.1,Low,1
1-019,Anderson Valley,4972.8,7.8,Very Low,1
1-020,Garcia River Valley,2199.5,3.4,Very Low,1
1-021,Fort Bragg Terrace Area,23897.8,37.3,Very Low,1
1-022,Fairchild Swamp Valley,3277.9,5.1,Very Low,1
1-025,Prairie Creek Area,20848.8,32.6,Very Low,1
1-026,Redwood Creek Area,2009.4,3.1,Very Low,1
1-027,Big Lagoon Area,13217,20.7,Very Low,1
1-028,Mattole River Valley,3160,4.9,Very Low,1
1-029,Honeydew Town Area,2369.9,3.7,Very Low,1
1-030,Pepperwood Town Area,6292,9.8,Very Low,1
1-031,Weott Town Area,3655.2,5.7,Very Low,1
1-032,Garberville Town Area,2113.2,3.3,Very Low,1
1-033,Larabee Valley,967.2,1.5,Very Low,1
1-034,Dinsmores Town Area,2277.9,3.6,Very Low,1
1-035,Hyampom Valley,1354.8,2.1,Very Low,1
1-036,Hettenshaw Valley,847,1.3,Very Low,1
1-037,Cottoneva Creek Valley,762.1,1.2,Very Low,1
1-038,Lower Laytonville Valley,2153.1,3.4,Very Low,1
1-039,Branscomb Town Area,1382.1,2.2,Very Low,1
