OBJECTID,Basin_Number,Basin_Subbasin_Number,Basin_Name,Basin_Subbasin_Name,Region_Office,GlobalID
1,9-029,9-029,POTRERO VALLEY,POTRERO VALLEY,SRO,{CBE7A0FF-D6FB-40C8-80A4-71D8540DDC26}
2,7-047,7-047,JACUMBA VALLEY,JACUMBA VALLEY,SRO,{0C1DE68E-5393-4D2C-9EE2-2A8559819902}
3,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,SRO,{51D4B0C9-1611-4602-814B-E1773020F070}
4,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,SRO,{40BFC1BD-8FB4-42EA-B673-E53036F4CFB8}
5,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,SRO,{45D601F5-439F-40DD-9745-2CA755DAA8F4}
6,9-016,9-016,EL CAJON VALLEY,EL CAJON VALLEY,SRO,{36BA34CE-E3B2-4C36-95DB-D6343F81499C}
7,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,SRO,{44A425ED-72FF-41C6-A04A-72BACDD373FD}
8,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,SRO,{5FB57B99-C235-402C-8EC0-D5A32D87EEF1}
9,9-013,9-013,POWAY VALLEY,POWAY VALLEY,SRO,{EA8CA3E8-0CE3-42CD-889E-2CEDD137CE34}
10,9-012,9-012,SAN DIEGUITO CREEK,SAN DIEGUITO CREEK,SRO,{9E9D32DE-04B7-407D-8049-C41981890625}
11,7-059,7-059,MASON VALLEY,MASON VALLEY,SRO,{EEC3324F-E752-4303-910B-ED8780ADBB9F}
12,9-023,9-023,SAN ELIJO VALLEY,SAN ELIJO VALLEY,SRO,{0E3D8580-5220-4016-BC88-7EA72867D3DD}
13,7-028,7-028,VALLECITO-CARRIZO VALLEY,VALLECITO-CARRIZO VALLEY,SRO,{2D471ECA-C468-47AE-9DF1-6F44D5AB1C0B}
14,9-011,9-011,SANTA MARIA VALLEY,SANTA MARIA VALLEY,SRO,{D237CA3F-31FC-4688-87C8-83A7A16C93DE}
15,7-036,7-036,YUMA VALLEY,YUMA VALLEY,SRO,{FAC8734B-0958-41A6-916D-22FC882A7291}
16,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,SRO,{B8E560F9-019B-4E02-B7A0-FC55E25C31C2}
17,7-035,7-035,OGILBY VALLEY,OGILBY VALLEY,SRO,{303363B7-0E03-4A32-BDB2-BA4A71C3BC3A}
18,9-032,9-032,SAN MARCOS AREA,SAN MARCOS AREA,SRO,{6C2AA4A4-ACBE-480B-ABD8-681280F863BB}
19,9-009,9-009,ESCONDIDO VALLEY,ESCONDIDO VALLEY,SRO,{6801DB68-0E3D-4CF1-A0CE-954ED6AEF02A}
20,7-056,7-056,YAQUI WELL AREA,YAQUI WELL AREA,SRO,{ED3DEF7E-A95A-4D61-8B92-8F6AD337DBCC}
21,9-024,9-024,PAMO VALLEY,PAMO VALLEY,SRO,{A330AC2E-F919-40A2-9D2E-E63043F58AC2}
22,7-027,7-027,SAN FELIPE VALLEY,SAN FELIPE VALLEY,SRO,{C20412E3-F6E0-4608-B2FA-1CA40AF9ACF1}
